RowNumber,CustomerId,Surname,First Name,Date of Birth,Gender,Marital Status,Number of Dependents,Occupation,Income,Education Level,Address,Contact Information,Customer Tenure,Customer Segment,Preferred Communication Channel,Credit Score,Credit History Length,Outstanding Loans,Churn Flag,Churn Reason,Churn Date,Balance,NumOfProducts,NumComplaints
1,83ef0b54-35f6-4f84-af58-5653ac0c0dc4,Smith,Troy,1987-08-29,Male,Divorced,3.0,Information systems manager,77710.14,High School,"26644 Diaz Viaduct
North Jessicaville, VI 14852",001-301-934-3058x0825,30.0,Retail,Phone,397.0,24.0,41959.74,0.0,,,211359.05,1.0,0.0
2,009f115a-e5ca-4cf4-97d6-530140545e4e,Sullivan,Katrina,2000-02-07,Female,Married,1.0,Charity fundraiser,58209.87,High School,"5642 Rachel Pass Suite 320
Port Peggy, RI 75805",+1-581-683-4267,27.0,SME,Email,665.0,10.0,8916.67,0.0,,,30624.76,4.0,1.0
3,66309fd3-5009-44d3-a3f7-1657c869d573,Fuller,Henry,1954-02-03,Female,Single,1.0,Television production assistant,9794.01,High School,"00025 Brittany Flats Apt. 543
New Amandaborough, MH 69279",9753900004,14.0,Retail,Email,715.0,21.0,43270.54,0.0,,,111956.61,2.0,6.0
4,b02a30df-1a5f-4087-8075-2a35432da641,Young,Antonio,1991-01-15,Female,Divorced,5.0,Agricultural engineer,15088.98,High School,"Unit 3386 Box 0088
DPO AE 71940",+1-928-477-2856x660,23.0,Corporate,Phone,747.0,17.0,17887.65,0.0,,,201187.61,1.0,0.0
5,0d932e5b-bb3a-4104-8c83-f84270f7f2ea,Andersen,John,1992-04-08,Female,Divorced,2.0,"Teacher, early years/pre",60726.56,Master's,"0120 Leslie River
West Lindseychester, MN 98290",204.515.2388,22.0,Corporate,Email,549.0,25.0,32686.84,0.0,,,60391.24,5.0,6.0
6,c18b027e-b108-4900-b413-dac87e2ee9b5,Gonzales,Ashley,1987-11-28,Male,Single,0.0,"Surveyor, building",55608.75,Bachelor's,"PSC 3787, Box 9869
APO AP 62324",001-880-967-5883x0508,15.0,Retail,Email,809.0,27.0,37218.81,1.0,Account Closure,2024-07-31,31206.81,2.0,10.0
7,7091e271-7d2b-4e73-934f-8398e2a1dcbc,Wilcox,Daniel,1976-09-07,Female,Single,1.0,Publishing copy,22032.61,Diploma,"983 Adams Coves
Lake Roberto, MP 82550",4756961139,15.0,Retail,Email,690.0,29.0,26200.0,0.0,,,198443.5,2.0,1.0
8,d5e80b75-bd3f-4d8a-b847-0868f8eb9e40,Lopez,Johnny,1993-08-05,Male,Divorced,4.0,Industrial buyer,73462.72,Diploma,"905 Jackson View Suite 009
South Amymouth, PA 54407",001-577-988-4031x4410,3.0,Corporate,Email,605.0,30.0,25156.25,0.0,,,96378.05,4.0,6.0
9,9eba62c1-0af0-4424-9218-435ece0689aa,Miles,Kelly,2001-08-03,Male,Divorced,3.0,Medical sales representative,30054.43,Bachelor's,"6398 Morgan Knolls
Julieborough, NH 55183",001-245-374-7034x4970,20.0,Corporate,Phone,634.0,16.0,41854.08,0.0,,,108395.17,5.0,1.0
10,4eea7068-ea07-4898-bb04-6ccd8b729fc9,Thompson,Anthony,1991-01-12,Female,Divorced,5.0,Media buyer,24129.53,Master's,"674 Reed Islands
Loweville, TX 67579",+1-814-630-2270x6096,21.0,SME,Phone,831.0,10.0,30914.02,0.0,,,99830.84,4.0,5.0
11,ecdf1f7f-2341-432e-85a8-4ba806d3c1ef,Morrison,Donald,1974-07-17,Male,Married,5.0,Sales executive,58523.79,Bachelor's,"385 Martinez Port Suite 203
Ricefort, PA 75457",(806)258-1579x70371,26.0,Corporate,Email,759.0,18.0,26021.64,0.0,,,141823.51,5.0,5.0
12,c4ec24ec-8f81-451f-8b14-eaf5c0765be9,Schwartz,Angela,1994-11-30,Male,Divorced,5.0,"Engineer, biomedical",17009.77,High School,"495 Thornton Fork Suite 422
West Rubenmouth, MD 54759",+1-793-776-3624x02031,22.0,Corporate,Phone,332.0,14.0,35937.1,0.0,,,122931.63,5.0,9.0
13,03169a54-fb8e-46e7-a795-26feead5a8e4,Cain,Elizabeth,1950-05-21,Female,Single,2.0,"Development worker, international aid",83160.48,Diploma,"54436 Colin Bridge
Dustinhaven, AK 07204",+1-657-684-6950x96745,12.0,SME,Email,688.0,9.0,41808.44,0.0,,,216944.39,2.0,8.0
