RowNumber,CustomerId,Surname,credit score,Age,Balance,EstimatedSalary,,Point Earned
1,15598695,Fields,619,42,0,101348.88,,464
2,15649354,Johnston,608,41,83807.86,112542.58,,456
3,15737556,Vasilyev,502,42,159660.8,113931.57,,377
4,15671610,Hooper,699,39,0,93826.63,,350
5,15625092,Colombo,850,43,125510.82,79084.1,,425
6,15741032,Tsao,645,44,113755.78,149756.71,,484
7,15750014,Chikere,822,50,0,10062.8,,206
8,15784761,Ballard,376,29,115046.74,119346.88,,282
9,15768359,Akhtar,501,44,142051.07,74940.5,,251
10,15805769,O'Loughlin,684,27,134603.88,71725.73,,342
11,15719508,Davis,528,31,102016.72,80181.12,,264
12,15609011,Barry,497,24,0,76390.01,,249
13,15703106,K'ung,476,34,0,26260.98,,119
14,15626795,Gorman,549,25,0,190857.79,,549
15,15773731,John,635,35,0,65951.65,,318
16,15756196,Tsou,616,45,143129.41,64327.26,,308
17,15687903,Okonkwo,653,58,132602.88,5097.67,,163
18,15777599,Esposito,549,24,0,14406.41,,544
19,15754577,Boni,587,45,0,158684.81,,732
20,15584113,Pratt,726,24,0,54724.03,,477
21,15669589,Page,732,41,0,170886.17,,568
22,15632793,Wilkinson,636,32,0,138555.46,,336
23,15711130,Tseng,510,38,0,118913.53,,887
24,15615254,Clark,669,46,0,8487.75,,665
25,15720583,Finch,846,38,0,187616.16,,225
26,15780432,Shen,577,25,0,124508.29,,659
27,15673223,Hou,756,36,136815.64,170041.95,,236
28,15807989,Wall,571,44,0,38433.35,,448
29,15761168,Manna,574,43,141349.43,100187.43,,499
30,15651272,Reyes,411,29,59697.17,53483.21,,343
31,15812832,Jideofor,591,39,0,140469.38,,298
32,15680517,Sal,533,36,85311.7,156731.91,,628
33,15750569,Iweobiegbunam,553,41,110112.54,81898.81,,611
34,15690743,Shao,520,42,0,34410.55,,922
35,15627741,Heath,722,29,0,142033.07,,276
36,15712121,Chidimma,475,45,134264.04,27822.99,,877
37,15805429,Murray,490,31,145260.23,114066.77,,471
38,15814923,Sullivan,804,33,76548.6,98453.45,,994
39,15589230,Wu,850,36,0,40812.9,,944
40,15775490,Downie,582,41,70349.48,178074.04,,419
41,15749727,Chukwufumnanya,472,40,0,70154.22,,545
42,15619238,Allan,465,51,122522.32,181297.65,,828
43,15593468,Findlay,556,61,117419.35,94153.83,,789
44,15718454,Ch'eng,834,49,131394.56,194365.76,,567
45,15789498,Miller,660,61,155931.11,158338.39,,884
46,15744691,Tsai,776,32,109421.13,126517.46,,296
47,15708289,Graham,829,27,112045.67,119708.21,,779
48,15790412,Norton,637,39,137843.8,117622.8,,730
49,15741416,Yegorov,550,38,103391.38,90878.13,,960
50,15598894,Holt,776,37,103769.22,194099.12,,268
51,15663294,Kao,698,44,116363.37,198059.16,,829
52,15572728,Ross,585,36,146050.97,86424.57,,665
53,15706729,Hsiao,788,33,0,116978.19,,982
54,15674433,Allan,655,41,125561.97,164040.94,,343
55,15641170,Liang,601,42,98495.72,40014.76,,225
56,15806284,Briggs,619,43,125211.92,113410.49,,657
57,15690958,Cantrell,656,45,127864.4,87107.57,,221
58,15606386,Wang,725,19,75888.2,45613.75,,406
59,15682322,Aksenov,511,66,0,1643.11,,549
60,15579915,Glennon,614,51,40685.92,46775.28,,954
61,15681928,Yancy,742,35,136857,84509.57,,823
62,15734005,Mazzi,687,27,152328.88,126494.82,,769
63,15650432,Liu,555,33,56084.69,178798.13,,481
64,15592578,Nucci,684,56,78707.16,99398.36,,903
65,15671243,Y?,603,26,109166.37,92840.67,,882
66,15775709,Nucci,751,36,169831.46,27758.36,,379
67,15702631,Tang,581,34,101633.04,110431.51,,469
68,15602282,Kao,735,43,123180.01,196673.28,,683
69,15717879,Chen,661,35,150725.53,113656.85,,770
70,15740878,Yao,675,21,98373.26,18203,,985
71,15794468,Tsou,738,58,133745.44,28373.86,,725
72,15773277,Barnes,813,29,0,33953.87,,259
73,15572657,H?,657,37,163607.18,44203.55,,979
74,15800295,Cruz,604,25,157780.84,58426.81,,988
75,15672397,Smith,519,36,0,145562.4,,833
76,15684921,Onuchukwu,735,21,178718.19,22388,,527
77,15720676,Bukowski,664,55,0,139161.64,,220
78,15731829,Simmons,678,32,0,148210.64,,983
79,15732672,Stewart,757,33,77253.22,194239.63,,582
80,15692406,Gow,416,41,122189.66,98301.61,,281
81,15764405,Williams,665,34,96645.54,171413.66,,798
82,15757537,Francis,777,32,0,136458.19,,917
83,15793307,Calabresi,543,36,0,26019.59,,255
84,15660679,Chimaobim,506,34,90307.62,159235.29,,511
85,15666856,Chikwendu,493,46,0,1907.66,,498
86,15687372,Padovesi,652,75,0,114675.75,,651
87,15667289,Henderson,750,22,121681.82,128643.35,,852
88,15624641,Kharlamova,729,30,0,151869.35,,807
89,15734610,Onio,646,46,0,93251.42,,470
90,15631882,Yeh,635,28,81623.67,156791.36,,659
91,15642709,Feng,647,44,0,174205.22,,752
92,15811026,Norman,808,45,118626.55,147132.46,,559
93,15596303,White,524,36,0,109614.57,,375
94,15787255,Manfrin,769,29,0,172290.61,,411
95,15617166,Ritchie,730,42,0,85982.47,,722
96,15742442,Udegbulam,515,35,176273.95,121277.78,,231
97,15758692,Kao,773,41,102827.44,64595.25,,488
98,15568238,Diaz,814,29,97086.4,197276.13,,965
99,15730353,Olisaemeka,710,22,0,99645.04,,289
100,15731555,Ross-Watt,413,34,0,6534.18,,449
101,15582404,Miller,665,40,0,161848.03,,651
102,15721462,Shubin,623,44,0,167162.43,,520
103,15632899,Nwankwo,738,31,82674.15,41970.72,,234
104,15808526,Cartwright,528,36,0,60536.56,,458
105,15694349,Ngozichukwuka,670,65,0,177655.68,,915
106,15718465,Sadler,622,46,107073.27,30984.59,,299
107,15682995,Azuka,582,32,88938.62,10054.53,,838
